id,name,age,stamina,health,build_skill,work_skill,research_skill,resource_affinity,resource_affinity_name,resource_aversion,resource_aversion_name
0,Sarah Dimadon,45,100,100,75,55,40,4,morale,10,safety
1,Priya Sharma,28,100,100,70,50,30,12,trade,10,safety
2,Budi Setiawan,22,100,100,65,45,30,9,health,5,manufacturing
3,Jing Liu,36,100,100,80,60,35,9,health,12,trade
4,Chidi Adebayo,34,100,100,40,75,50,4,morale,9,health
5,Fatima Hussain,41,100,100,55,80,40,3,food,11,energy
6,Ngozi Okafor,55,100,100,65,70,35,3,food,10,safety
7,Camila Costa,25,100,100,60,70,40,4,morale,10,safety
8,Mateus Silva,31,100,100,85,50,40,11,energy,3,food
9,Tariq Khan,48,100,100,60,75,45,8,shelter,2,water
10,Wei Chen,50,100,100,70,80,50,9,health,4,morale
11,Ayu Sari,19,100,100,50,75,30,12,trade,10,safety
12,Vikram Desai,42,100,100,85,55,30,12,trade,3,food
13,Tyler Cravat,20,100,100,45,80,50,12,trade,2,water
14,Ananya Desai,40,100,100,70,75,35,3,food,10,safety
15,Jọo Oliveira,33,100,100,60,80,45,12,trade,9,health
16,Hao Zhang,27,100,100,55,75,50,5,manufacturing,4,morale
17,Tiago Souza,29,100,100,40,85,65,10,safety,2,water
18,Bilal Mahmood,26,100,100,35,80,65,10,safety,10,safety
19,Oluwaseun Ibrahim,35,100,100,45,75,60,10,safety,12,trade
20,Mei Jhoe,35,100,100,90,55,30,3,food,4,morale
21,Ratna Susanti,30,100,100,75,60,40,3,food,11,energy
22,Amina Ali,23,100,100,85,45,30,2,water,10,safety
23,Arjun Patel,52,100,100,70,80,50,3,food,11,energy
24,Beatriz Santos,49,100,100,65,80,60,3,food,2,water
25,Xiu Wang,44,100,100,60,75,70,5,manufacturing,12,trade
26,Joko Hidayat,38,100,100,65,70,75,10,safety,3,food
27,Hector Santiago,41,100,100,70,75,50,2,water,11,energy
28,Neha Patel,28,100,100,85,60,40,3,food,10,safety
29,Chukwu Eze,25,100,100,40,75,60,3,food,2,water
30,Li Wei,24,100,100,45,75,55,3,food,12,trade
31,Jackson Davis,32,100,100,50,80,70,11,energy,2,water
32,Aisha Ahmed,39,100,100,70,75,45,3,food,2,water
33,Rafael Costa,33,100,100,75,65,50,3,food,11,energy
34,Marcus Tuna,34,100,100,45,80,65,3,food,10,safety
35,Leticia Silva,27,100,100,55,75,60,3,food,2,water
36,Ravi Gupta,21,100,100,70,65,40,3,food,10,safety
37,Nneka Adebayo,45,100,100,60,80,45,3,food,12,trade
38,Chen Gong,51,100,100,65,85,50,3,food,4,morale
39,Mariana Oliveira,37,100,100,60,75,70,8,shelter,3,food
40,Rizky Putra,29,100,100,75,65,50,9,health,10,safety
41,Usman Khan,40,100,100,50,75,80,10,safety,3,food
42,Chloe Washington,26,100,100,60,75,55,3,food,8,shelter
43,Sanjay Singh,23,100,100,45,80,55,3,food,2,water
44,Kenji Dean,22,100,100,70,65,80,5,manufacturing,4,morale
45,Maria Bottoms,48,100,100,65,75,70,2,water,3,food
46,Billy Bottoms,18,100,100,40,75,50,3,food,10,safety
47,Adeola Balogun,36,100,100,75,65,80,11,energy,3,food
48,Lin Feng,42,100,100,90,60,50,11,energy,2,water
49,Zoya Hussain,39,100,100,80,65,45,11,energy,3,food
50,Thiago Santos,34,100,100,65,75,80,5,manufacturing,4,morale
51,Dika Pratama,47,100,100,60,70,85,2,water,12,trade
52,Rahul Kumar,31,100,100,55,75,85,5,manufacturing,3,food
53,Efe Okeke,28,100,100,80,65,75,5,manufacturing,2,water
54,Youssef Ali,45,100,100,70,70,85,11,energy,3,food
55,David Carter,53,100,100,65,80,75,10,safety,4,morale
56,Samantha Carter,24,100,100,60,75,65,10,safety,3,food
57,Jian Wu,30,100,100,55,75,70,10,safety,12,trade
58,Gabriela Souza,25,100,100,55,75,65,10,safety,3,food
59,Kiran Sharma,27,100,100,60,75,50,10,safety,3,food
60,"Tariq ""T-Rex"" Bello",33,100,100,45,80,70,10,safety,2,water
61,Fitriani Wulandari,29,100,100,50,75,65,10,safety,12,trade
62,Arthur Goodish,76,100,100,85,40,30,4,morale,10,safety
63,Ibrahim Mahmood,72,100,100,80,45,30,4,morale,11,energy
64,Hua Chen,68,100,100,85,40,30,2,water,10,safety
65,Joao Costa,75,100,100,90,35,25,3,food,12,trade
66,Nana Ojo,70,100,100,55,60,45,3,food,2,water
67,Sri Mulyani,69,100,100,60,65,35,3,food,11,energy
68,Lily Dimadon,14,100,100,65,55,35,4,morale,10,safety
69,Jessica Hansen,16,100,100,50,65,40,4,morale,2,water
70,Max Cravat,12,100,100,70,45,30,2,water,10,safety
71,Omar Hussain,9,100,100,40,55,30,0,None,0,None
72,Mei-Ling Wang,7,100,100,45,50,25,0,None,0,None
73,Lucas Silva,4,100,100,30,40,20,0,None,0,None
74,Aarav Patel,3,100,100,25,35,20,0,None,0,None
75,Bisi Ibrahim,0,100,100,10,20,10,0,None,0,None
